"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2014","2014",36.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DNK","Denmark","2000","2000",24.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DNK","Denmark","2005","2005",26.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DNK","Denmark","2010","2010",26.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DNK","Denmark","2013","2013",26.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DNK","Denmark","2017","2017",27.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DNK","Denmark","2000","2000",39.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DNK","Denmark","2005","2005",40.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DNK","Denmark","2010","2010",40.5,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DNK","Denmark","2013","2013",40,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DNK","Denmark","2017","2017",40.6,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2000","2000",32.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2005","2005",33.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2010","2010",33.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2013","2013",33.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2017","2017",34.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2000","2000",25.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2001","2001",25.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2002","2002",25.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2003","2003",26.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2004","2004",24.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2005","2005",26.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2006","2006",27.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2007","2007",28.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2008","2008",27.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2009","2009",28.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2010","2010",27.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2011","2011",27.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2012","2012",27.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2013","2013",29.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2014","2014",27.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2015","2015",31.4,"B; D","Break; Difference in methodology"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2016","2016",31,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2017","2017",30,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FIN","Finland","2018","2018",29,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2000","2000",40,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2001","2001",41,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2002","2002",42.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2003","2003",39.5,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2004","2004",39.3,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2005","2005",44.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2006","2006",40.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2007","2007",40.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2008","2008",40.4,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2009","2009",42.3,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2010","2010",42.2,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2011","2011",42.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2012","2012",41.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2013","2013",40.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2014","2014",42.2,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2015","2015",43.5,"B; D","Break; Difference in methodology"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2016","2016",43,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2017","2017",45,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FIN","Finland","2018","2018",42,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2000","2000",32.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2001","2001",32.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2002","2002",33.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2003","2003",32.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2004","2004",31.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2005","2005",35,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2006","2006",33.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2007","2007",34,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2008","2008",33.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2009","2009",34.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2010","2010",34.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2011","2011",34.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2012","2012",33.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2013","2013",34.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2014","2014",33.8,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2015","2015",37.3,"B; D","Break; Difference in methodology"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2016","2016",37,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2017","2017",38,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2018","2018",35,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FRA","France","2000","2000",20.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FRA","France","2002","2002",22.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FRA","France","2004","2004",19.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FRA","France","2006","2006",21.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FRA","France","2008","2008",22.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FRA","France","2010","2010",23.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FRA","France","2012","2012",24.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","FRA","France","2014","2014",25.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FRA","France","2000","2000",34.4,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FRA","France","2002","2002",34,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FRA","France","2004","2004",30.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FRA","France","2006","2006",32,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FRA","France","2008","2008",32.2,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FRA","France","2010","2010",37.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FRA","France","2012","2012",36.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","FRA","France","2014","2014",37,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FRA","France","2000","2000",27.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FRA","France","2002","2002",28.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FRA","France","2004","2004",25.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FRA","France","2006","2006",26.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FRA","France","2008","2008",27,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FRA","France","2010","2010",29.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FRA","France","2012","2012",29.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","FRA","France","2014","2014",30.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DEU","Germany","2003","2003",28.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DEU","Germany","2005","2005",28.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DEU","Germany","2009","2009",29.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DEU","Germany","2013","2013",29.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DEU","Germany","2014","2014",27.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","DEU","Germany","2017","2017",28.5,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DEU","Germany","2003","2003",44.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DEU","Germany","2005","2005",43.5,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DEU","Germany","2009","2009",44.4,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DEU","Germany","2013","2013",44.4,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DEU","Germany","2014","2014",41.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","DEU","Germany","2017","2017",44,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2003","2003",36.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2005","2005",36,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2009","2009",36.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2013","2013",36.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2014","2014",34.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2017","2017",36.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","GRC","Greece","2006","2006",34.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","GRC","Greece","2008","2008",34.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","GRC","Greece","2009","2009",31.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","GRC","Greece","2014","2014",31.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","GRC","Greece","2017","2017",35.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","GRC","Greece","2006","2006",48.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","GRC","Greece","2008","2008",47.2,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","GRC","Greece","2009","2009",45.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","GRC","Greece","2014","2014",47.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","GRC","Greece","2017","2017",51.6,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2006","2006",41.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2008","2008",40.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2009","2009",38.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2014","2014",39.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","GRC","Greece","2017","2017",43.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","HUN","Hungary","2000","2000",28.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","HUN","Hungary","2003","2003",29.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","HUN","Hungary","2009","2009",30.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","HUN","Hungary","2014","2014",27.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","HUN","Hungary","2000","2000",38.5,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","HUN","Hungary","2003","2003",38.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","HUN","Hungary","2009","2009",38.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","HUN","Hungary","2014","2014",39.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","HUN","Hungary","2000","2000",33.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","HUN","Hungary","2003","2003",34,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","HUN","Hungary","2009","2009",34.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","HUN","Hungary","2014","2014",33.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISL","Iceland","2002","2002",28,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISL","Iceland","2007","2007",32.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISL","Iceland","2010","2010",31.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISL","Iceland","2012","2012",33.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISL","Iceland","2015","2015",30.1,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISL","Iceland","2017","2017",32.5,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISL","Iceland","2002","2002",44.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISL","Iceland","2007","2007",47.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISL","Iceland","2010","2010",44,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISL","Iceland","2012","2012",48.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISL","Iceland","2015","2015",47,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISL","Iceland","2017","2017",45,"B","Break"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2002","2002",35.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2007","2007",40.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2010","2010",37.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2012","2012",41.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2015","2015",38.6,"B","Break"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISL","Iceland","2017","2017",38.8,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","IRL","Ireland","2002","2002",28,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","IRL","Ireland","2007","2007",28,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","IRL","Ireland","2015","2015",29,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","IRL","Ireland","2002","2002",38,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","IRL","Ireland","2007","2007",43,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","IRL","Ireland","2015","2015",41,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","IRL","Ireland","2002","2002",33,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","IRL","Ireland","2007","2007",36,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","IRL","Ireland","2015","2015",35,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2000","2000",25.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2001","2001",25.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2002","2002",25.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2003","2003",25.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2005","2005",26.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2006","2006",26.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2007","2007",27.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2008","2008",27.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2009","2009",27.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2010","2010",27.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2011","2011",26.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2012","2012",27.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2013","2013",27.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ITA","Italy","2014","2014",28.2,,
